method,dataset,direction,seed,rank1,rank5,macro_f1,eer,tar_far_1e_2,tar_far_1e_3
M7,Tongji,S1->S2,2026,0.9399999976158142,0.9758333563804626,0.9317558879386403,0.047249999999988634,0.8861666666666667,0.7579166666666667
M7,Tongji,S1->S2,2705,0.8758333325386047,0.9283333420753479,0.8616476112679211,0.061000000000000075,0.82025,0.6089166666666667
M7,Tongji,S2->S1,42,0.9350000023841858,0.9708333611488342,0.9256992713206537,0.04566946778806505,0.8819166666666667,0.7206666666666667
M7,Tongji,S2->S1,2026,0.9524999856948853,0.9708333611488342,0.9462110220352694,0.0393683473392071,0.91175,0.7954166666666667
M7,Tongji,S2->S1,2705,0.9333333373069763,0.9708333611488342,0.9258979586922951,0.04741666666666663,0.87025,0.7036666666666667
M3,Tongji,S1->S2,42,0.9200000166893005,0.9683333039283752,0.9106931980403218,0.05026820728339312,0.8685833333333334,0.7035
M3,Tongji,S1->S2,2026,0.9466666579246521,0.9733333587646484,0.941431460784731,0.0497310924365258,0.8793333333333333,0.723
M3,Tongji,S1->S2,2705,0.9041666388511658,0.940833330154419,0.8897159193994794,0.0545,0.86575,0.7245833333333334
M3,Tongji,S2->S1,42,0.9441666603088379,0.9750000238418579,0.9386192570304666,0.04349999999999996,0.9009166666666667,0.7648333333333334
M3,Tongji,S2->S1,2026,0.9258333444595337,0.9566666483879089,0.9143368145200366,0.05075000000002326,0.88425,0.74625
M3,Tongji,S2->S1,2705,0.9166666865348816,0.9524999856948853,0.904292443026206,0.051083333333449166,0.87025,0.7275
