dataset,method,direction,seed,num_genuine,num_impostor,target_far,selected_threshold,empirical_far,tar,eer,eer_threshold,source_file
Tongji,B7,S1->S2,42,12000,1428000,0.01,0.3149837255477905,0.0099887955182072,0.8518333333333333,0.0515833333333327,0.2212364375591278,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S1->S2,42,12000,1428000,0.001,0.4200862944126129,0.0009992997198879,0.6778333333333333,0.0515833333333327,0.2212364375591278,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S1->S2,2026,12000,1428000,0.01,0.2794004082679748,0.0099726890756302,0.8861666666666667,0.0472499999999886,0.1990804374217987,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S1->S2,2026,12000,1428000,0.001,0.3724139630794525,0.0009985994397759,0.7579166666666667,0.0472499999999886,0.1990804374217987,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S1->S2,2705,12000,1428000,0.01,0.3431211113929748,0.0099859943977591,0.82025,0.061,0.2307956218719482,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S1->S2,2705,12000,1428000,0.001,0.4530939757823944,0.0009985994397759,0.6089166666666667,0.061,0.2307956218719482,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,42,12000,1428000,0.01,0.2805001139640808,0.0099957983193277,0.882,0.045669467788065,0.2013645470142364,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,42,12000,1428000,0.001,0.3774977028369903,0.0009992997198879,0.72075,0.045669467788065,0.2013645470142364,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,2026,12000,1428000,0.01,0.2631582021713257,0.0099978991596638,0.9118333333333334,0.0393683473392071,0.1992129534482956,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,2026,12000,1428000,0.001,0.354702740907669,0.0009978991596638,0.7955,0.0393683473392071,0.1992129534482956,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,2705,12000,1428000,0.01,0.2956186830997467,0.0099957983193277,0.8703333333333333,0.0474166666666666,0.2152960300445556,docs\results\threshold_evidence_strict_tongji.csv
Tongji,B7,S2->S1,2705,12000,1428000,0.001,0.3951799571514129,0.0009985994397759,0.7036666666666667,0.0474166666666666,0.2152960300445556,docs\results\threshold_evidence_strict_tongji.csv
IITD,B1,within,42,714,64974,0.01,0.3573991060256958,0.0095884507649213,0.9173669467787114,0.0434173669467786,0.2572571933269501,docs\results\threshold_evidence_iitd.csv
IITD,B1,within,42,714,64974,0.001,0.5144150257110596,0.0009696186166774,0.7857142857142857,0.0434173669467786,0.2572571933269501,docs\results\threshold_evidence_iitd.csv
