dataset,direction,seed,split_hash,method,checkpoint_path,checkpoint_epoch,far_target,threshold,empirical_far,tar,n_genuine,n_impostor,far_step,pass
Tongji,S1->S2,2705,2d23d2ee114f0b44a034544c06011447,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s1s2_seed2705/checkpoints/best.pt,15,0.001,0.453066349029541,0.001,0.6089166666666667,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,20,0.01,0.2804777324199676,0.01,0.882,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,42,8ca9ac94d244493d16421422c9403f81,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed42/checkpoints/best.pt,20,0.001,0.3774604499340057,0.001,0.72075,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,27,0.01,0.2631512284278869,0.01,0.9118333333333334,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2026,ec8b452d197e7bfdccc2db0d49c8928d,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2026/checkpoints/best.pt,27,0.001,0.3546651601791382,0.001,0.7955,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,19,0.01,0.2955990731716156,0.01,0.8703333333333333,12000,1428000,7.002801120448179e-07,true
Tongji,S2->S1,2705,a084807152cd32198e9d56b0f2611017,B7,experiments/b7_resnet18_bnneck_arcface_light_supcon_tongji_subject_disjoint_s2s1_seed2705/checkpoints/best.pt,19,0.001,0.3951377272605896,0.001,0.7036666666666667,12000,1428000,7.002801120448179e-07,true
IITD,within,42,7775352e714526b3ae4666fcb342a18b,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,30,0.01,0.3548428416252136,0.009988610828946963,0.9173669467787114,714,64974,1.5390771693292702e-05,true
IITD,within,42,7775352e714526b3ae4666fcb342a18b,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,30,0.001,0.5143874287605286,0.000985009388370733,0.7857142857142857,714,64974,1.5390771693292702e-05,true
IITD,within,2026,71d47ecf9071e5415235bfe18f77f2a3,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,38,0.01,0.3223516643047333,0.00999664346277892,0.9548472775564409,753,68523,1.459364009164806e-05,true
IITD,within,2026,71d47ecf9071e5415235bfe18f77f2a3,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,38,0.001,0.4738996624946594,0.000992367526232068,0.8738379814077025,753,68523,1.459364009164806e-05,true
IITD,within,2705,9501c269efb9d21610394e803171cf4d,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,53,0.01,0.2975289523601532,0.00999000999000999,0.9752066115702479,726,66066,1.513637877274241e-05,true
IITD,within,2705,9501c269efb9d21610394e803171cf4d,B1,experiments/b1_resnet18_ce_supcon_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,53,0.001,0.4397726655006408,0.000999000999000999,0.9256198347107438,726,66066,1.513637877274241e-05,true
IITD,within,42,7775352e714526b3ae4666fcb342a18b,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,38,0.01,0.2667488753795624,0.009988610828946963,0.9215686274509803,714,64974,1.5390771693292702e-05,true
IITD,within,42,7775352e714526b3ae4666fcb342a18b,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed42/checkpoints/best.pt,38,0.001,0.3994345963001251,0.000985009388370733,0.8249299719887955,714,64974,1.5390771693292702e-05,true
IITD,within,2026,71d47ecf9071e5415235bfe18f77f2a3,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,36,0.01,0.2692391276359558,0.00999664346277892,0.9389110225763613,753,68523,1.459364009164806e-05,true
IITD,within,2026,71d47ecf9071e5415235bfe18f77f2a3,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2026/checkpoints/best.pt,36,0.001,0.4151109457015991,0.000992367526232068,0.8406374501992032,753,68523,1.459364009164806e-05,true
IITD,within,2705,9501c269efb9d21610394e803171cf4d,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,60,0.01,0.2499325722455978,0.00999000999000999,0.9724517906336089,726,66066,1.513637877274241e-05,true
IITD,within,2705,9501c269efb9d21610394e803171cf4d,B6,experiments/b6_resnet18_bnneck_arcface_iitd_subject_disjoint_within_seed2705/checkpoints/best.pt,60,0.001,0.3814983665943146,0.000999000999000999,0.8980716253443526,726,66066,1.513637877274241e-05,true
